ecoregion species DOMpool DecayRate AmountT0 Q10
415_1 PINU.STR 2 0.5 39.858 2
415_1 PINU.STR 3 0.1435 30.23 2
415_1 PINU.STR 4 0.1435 26.62 2
415_1 PINU.STR 5 0.0374 18.699 2
415_1 PINU.STR 6 0.015 363.003 2.65
415_1 PINU.STR 7 0.0033 1433.091 1
415_1 PINU.STR 8 0.0187 5.727 2
415_1 PINU.STR 9 0.0718 0.148 2
415_1 PINU.STR 10 0.0001 0.0001 2
415_1 POPU.TRE 1 0.355 116.7027 2.65
415_1 POPU.TRE 2 0.5 45.0014 2
415_1 POPU.TRE 3 0.1435 108.6645 2
415_1 POPU.TRE 4 0.1435 32.6702 2
415_1 POPU.TRE 5 0.0374 50.2035 2
415_1 POPU.TRE 6 0.015 662.8539 2.65
415_1 POPU.TRE 7 0.0033 2126.7823 1
415_1 POPU.TRE 8 0.0187 61.1499 2
415_1 POPU.TRE 9 0.0718 40.7627 2
415_1 POPU.TRE 10 0.0001 0.0001 2
415_1 QUER.RUB 1 0.355 0.0001 2.65
415_1 QUER.RUB 2 0.5 0.0001 2
415_1 QUER.RUB 3 0.1435 0.0001 2
415_1 QUER.RUB 4 0.1435 0.0001 2
415_1 QUER.RUB 5 0.0374 0.0001 2
415_1 QUER.RUB 6 0.015 0.0001 2.65
415_1 QUER.RUB 7 0.0033 0.0001 1
415_1 QUER.RUB 8 0.0187 0.0001 2
415_1 QUER.RUB 9 0.0718 0.0001 2
415_1 QUER.RUB 10 0.0001 0.0001 2
415_1 THUJ.SPP.ALL 1 0.355 54.9039 2.65
415_1 THUJ.SPP.ALL 2 0.5 18.6228 2
415_1 THUJ.SPP.ALL 3 0.1435 30.9059 2
415_1 THUJ.SPP.ALL 4 0.1435 13.1862 2
415_1 THUJ.SPP.ALL 5 0.0374 17.744 2
415_1 THUJ.SPP.ALL 6 0.015 214.4453 2.65
415_1 THUJ.SPP.ALL 7 0.0033 768.4179 1
415_1 THUJ.SPP.ALL 8 0.0187 13.9395 2
415_1 THUJ.SPP.ALL 9 0.0718 18.8284 2
415_1 THUJ.SPP.ALL 10 0.0001 0.0001 2
415_1 TSUG.CAN 1 0.355 0.0001 2.65
415_1 TSUG.CAN 2 0.5 0.0001 2
415_1 TSUG.CAN 3 0.1435 0.0001 2
415_1 TSUG.CAN 4 0.1435 0.0001 2
415_1 TSUG.CAN 5 0.0374 0.0001 2
415_1 TSUG.CAN 6 0.015 0.0001 2.65
415_1 TSUG.CAN 7 0.0033 0.0001 1
415_1 TSUG.CAN 8 0.0187 0.0001 2
415_1 TSUG.CAN 9 0.0718 0.0001 2
415_1 TSUG.CAN 10 0.0001 0.0001 2
415_2 ABIE.BAL 1 0.355 8.8021 2.65
415_2 ABIE.BAL 2 0.5 4.1697 2
415_2 ABIE.BAL 3 0.1435 3.1101 2
415_2 ABIE.BAL 4 0.1435 3.0793 2
415_2 ABIE.BAL 5 0.0374 0.3162 2
415_2 ABIE.BAL 6 0.015 44.8452 2.65
415_2 ABIE.BAL 7 0.0033 200.5164 1
415_2 ABIE.BAL 8 0.0187 0.0728 2
415_2 ABIE.BAL 9 0.0718 0.0012 2
415_2 ABIE.BAL 10 0.0001 0.0001 2
415_2 ACER.RUB 1 0.355 58.9116 2.65
415_2 ACER.RUB 2 0.5 25.8534 2
415_2 ACER.RUB 3 0.1435 56.1811 2
415_2 ACER.RUB 4 0.1435 18.5953 2
415_2 ACER.RUB 5 0.0374 24.8819 2
415_2 ACER.RUB 6 0.015 360.7871 2.65
415_2 ACER.RUB 7 0.0033 1156.5059 1
415_2 ACER.RUB 8 0.0187 29.4316 2
415_2 ACER.RUB 9 0.0718 15.4196 2
415_2 ACER.RUB 10 0.0001 0.0001 2
415_2 ACER.SAH 1 0.355 36.9822 2.65
415_2 ACER.SAH 2 0.5 12.4992 2
415_2 ACER.SAH 3 0.1435 63.2255 2
415_2 ACER.SAH 4 0.1435 8.9076 2
415_2 ACER.SAH 5 0.0374 15.6166 2
415_2 ACER.SAH 6 0.015 275.0954 2.65
415_2 ACER.SAH 7 0.0033 739.7637 1
415_2 ACER.SAH 8 0.0187 16.6359 2
415_2 ACER.SAH 9 0.0718 30.2549 2
415_2 ACER.SAH 10 0.0001 0.0001 2
415_2 BETU.ALL 1 0.355 56.3927 2.65
415_2 BETU.ALL 2 0.5 27.9136 2
415_2 BETU.ALL 3 0.1435 20.6166 2
415_2 BETU.ALL 4 0.1435 19.4563 2
415_2 BETU.ALL 5 0.0374 0.0001 2
415_2 BETU.ALL 6 0.015 248.6607 2.65
415_2 BETU.ALL 7 0.0033 1031.5563 1
415_2 BETU.ALL 8 0.0187 0.0001 2
415_2 BETU.ALL 9 0.0718 0.0001 2
415_2 BETU.ALL 10 0.0001 0.0001 2
415_2 BETU.PAP 1 0.355 0.6159 2.65
415_2 BETU.PAP 2 0.5 0.0343 2
415_2 BETU.PAP 3 0.1435 0.5683 2
415_2 BETU.PAP 4 0.1435 0.033 2
415_2 BETU.PAP 5 0.0374 1.0563 2
415_2 BETU.PAP 6 0.015 6.421 2.65
415_2 BETU.PAP 7 0.0033 12.2635 1
415_2 BETU.PAP 8 0.0187 1.033 2
415_2 BETU.PAP 9 0.0718 0.252 2
415_2 BETU.PAP 10 0.0001 0.0001 2
415_2 FAGU.GRA 1 0.355 0.0001 2.65
415_2 FAGU.GRA 2 0.5 0.0001 2
415_2 FAGU.GRA 3 0.1435 0.0001 2
415_2 FAGU.GRA 4 0.1435 0.0001 2
415_2 FAGU.GRA 5 0.0374 0.0001 2
415_2 FAGU.GRA 6 0.015 0.0001 2.65
415_2 FAGU.GRA 7 0.0033 0.0001 1
415_2 FAGU.GRA 8 0.0187 0.0001 2
415_2 FAGU.GRA 9 0.0718 0.0001 2
415_2 FAGU.GRA 10 0.0001 0.0001 2
415_2 LARI.LAR 1 0.355 0.0001 2.65
415_2 LARI.LAR 2 0.5 0.0001 2
415_2 LARI.LAR 3 0.1435 0.0001 2
415_2 LARI.LAR 4 0.1435 0.0001 2
415_2 LARI.LAR 5 0.0374 0.0001 2
415_2 LARI.LAR 6 0.015 0.0001 2.65
415_2 LARI.LAR 7 0.0033 0.0001 1
415_2 LARI.LAR 8 0.0187 0.0001 2
415_2 LARI.LAR 9 0.0718 0.0001 2
415_2 LARI.LAR 10 0.0001 0.0001 2
415_2 PICE.GLA 1 0.355 322.8998 2.65
415_2 PICE.GLA 2 0.5 89.9922 2
415_2 PICE.GLA 3 0.1435 437.3081 2
415_2 PICE.GLA 4 0.1435 68.4552 2
415_2 PICE.GLA 5 0.0374 880.9294 2
415_2 PICE.GLA 6 0.015 2691.0513 2.65
415_2 PICE.GLA 7 0.0033 6718.2525 1
415_2 PICE.GLA 8 0.0187 751.7248 2
415_2 PICE.GLA 9 0.0718 207.1694 2
415_2 PICE.GLA 10 0.0001 0.0001 2
415_2 PICE.MAR 1 0.355 164.9522 2.65
415_2 PICE.MAR 2 0.5 57.591 2
415_2 PICE.MAR 3 0.1435 184.2008 2
415_2 PICE.MAR 4 0.1435 44.3119 2
415_2 PICE.MAR 5 0.0374 327.3312 2
415_2 PICE.MAR 6 0.015 1247.6257 2.65
415_2 PICE.MAR 7 0.0033 3616.2677 1
415_2 PICE.MAR 8 0.0187 274.8848 2
415_2 PICE.MAR 9 0.0718 74.3176 2
415_2 PICE.MAR 10 0.0001 0.0001 2
415_2 PICE.RUB 1 0.355 24.6091 2.65
415_2 PICE.RUB 2 0.5 12.1438 2
415_2 PICE.RUB 3 0.1435 8.3213 2
415_2 PICE.RUB 4 0.1435 8.2669 2
415_2 PICE.RUB 5 0.0374 0.6991 2
415_2 PICE.RUB 6 0.015 95.6674 2.65
415_2 PICE.RUB 7 0.0033 443.2104 1
415_2 PICE.RUB 8 0.0187 0.1605 2
415_2 PICE.RUB 9 0.0718 0.0011 2
415_2 PICE.RUB 10 0.0001 0.0001 2
415_2 PINU.BAN 1 0.355 204.0475 2.65
415_2 PINU.BAN 2 0.5 88.5631 2
415_2 PINU.BAN 3 0.1435 164.3152 2
415_2 PINU.BAN 4 0.1435 62.9277 2
415_2 PINU.BAN 5 0.0374 326.6153 2
415_2 PINU.BAN 6 0.015 1505.3635 2.65
415_2 PINU.BAN 7 0.0033 4562.2961 1
415_2 PINU.BAN 8 0.0187 219.6657 2
415_2 PINU.BAN 9 0.0718 43.7647 2
415_2 PINU.BAN 10 0.0001 0.0001 2
415_2 PINU.RES 1 0.355 0.0001 2.65
415_2 PINU.RES 2 0.5 0.0001 2
415_2 PINU.RES 3 0.1435 0.0001 2
415_2 PINU.RES 4 0.1435 0.0001 2
415_2 PINU.RES 5 0.0374 0.0001 2
415_2 PINU.RES 6 0.015 0.0001 2.65
415_2 PINU.RES 7 0.0033 0.0001 1
415_2 PINU.RES 8 0.0187 0.0001 2
415_2 PINU.RES 9 0.0718 0.0001 2
415_2 PINU.RES 10 0.0001 0.0001 2
415_2 PINU.STR 1 0.355 84.783 2.65
415_2 PINU.STR 2 0.5 39.012 2
415_2 PINU.STR 3 0.1435 67.067 2
415_2 PINU.STR 4 0.1435 25.699 2
415_2 PINU.STR 5 0.0374 41.6235 2
415_2 PINU.STR 6 0.015 435.2925 2.65
415_2 PINU.STR 7 0.0033 1313.22 1
415_2 PINU.STR 8 0.0187 25.452 2
415_2 PINU.STR 9 0.0718 19.4535 2
415_2 PINU.STR 10 0.0001 0.0001 2
415_2 POPU.TRE 1 0.355 116.3731 2.65
415_2 POPU.TRE 2 0.5 48.5557 2
415_2 POPU.TRE 3 0.1435 98.6016 2
415_2 POPU.TRE 4 0.1435 36.6037 2
415_2 POPU.TRE 5 0.0374 51.3325 2
415_2 POPU.TRE 6 0.015 733.8959 2.65
415_2 POPU.TRE 7 0.0033 2523.6443 1
415_2 POPU.TRE 8 0.0187 65.9116 2
415_2 POPU.TRE 9 0.0718 33.9714 2
415_2 POPU.TRE 10 0.0001 0.0001 2
415_2 QUER.RUB 1 0.355 0.0001 2.65
415_2 QUER.RUB 2 0.5 0.0001 2
415_2 QUER.RUB 3 0.1435 0.0001 2
415_2 QUER.RUB 4 0.1435 0.0001 2
415_2 QUER.RUB 5 0.0374 0.0001 2
415_2 QUER.RUB 6 0.015 0.0001 2.65
415_2 QUER.RUB 7 0.0033 0.0001 1
415_2 QUER.RUB 8 0.0187 0.0001 2
415_2 QUER.RUB 9 0.0718 0.0001 2
415_2 QUER.RUB 10 0.0001 0.0001 2
415_2 THUJ.SPP.ALL 1 0.355 27.7617 2.65
415_2 THUJ.SPP.ALL 2 0.5 13.3068 2
415_2 THUJ.SPP.ALL 3 0.1435 11.4249 2
415_2 THUJ.SPP.ALL 4 0.1435 10.4626 2
415_2 THUJ.SPP.ALL 5 0.0374 2.8099 2
415_2 THUJ.SPP.ALL 6 0.015 153.1969 2.65
415_2 THUJ.SPP.ALL 7 0.0033 675.8502 1
415_2 THUJ.SPP.ALL 8 0.0187 0.9059 2
415_2 THUJ.SPP.ALL 9 0.0718 0.1473 2
415_2 THUJ.SPP.ALL 10 0.0001 0.0001 2
415_2 TSUG.CAN 1 0.355 45.569 2.65
415_2 TSUG.CAN 2 0.5 22.306 2
